vacancy_id,vacancy_name,company_name,company_dept,area,address,latitude,longitude,salary_from,salary_to,salary_currency,salary_gross,publication_time,last_changed,schedule,req,resp,cond,skills
72750262,Ведущий аналитик (качество данных\Data quality),Банк ВТБ (ПАО),,1,"Москва, Пресненская набережная, 10с1",55.748914,37.535466,,,,,2022-11-23 07:08:44,2022-11-23 07:08:44,FULL_DAY,"Высшее образование. Опыт работы в качестве аналитика не менее 3-х лет. З​нания в области управленческого, бухгалтерского учета, МСФО...","Мониторинг качества данных, организация процессов управления инцидентами и проблемами качества данных, реализация мероприятий по повышению качества данных. Участие в разработке...","Трудоустройство согласно Законодательству. Конкурентная заработная плата. Профессиональное обучение и развитие. Добровольное медицинское страхование, льготные условия кредитования. Корпоративная пенсионная программа, материальная...",
72674818,Аналитик данных,Городские информационные системы,,1,,,,120000.0,180000.0,RUR,False,2022-11-27 09:36:56,2022-11-27 10:21:43,FULL_DAY,"...заданий, валидация данных. Особенности OLAP БД и особенности колончатых БД. Apache Superset: оптимизация запросов и методы получения данных. ","...SQL-запросы, хранимые процедуры, вьюшки. Визуализировать данные в промышленной BI-системе. Писать скрипты на Python для экстракции и преобразования данных.",Удалённая работа. Уютный коллектив. Минимум бюрократии. Возможности расти и экспериментировать.,
72527010,Аналитик базы данных,Вектор,,1,"Красногорск, бульвар Строителей, 4к1",55.814462,37.385412,70000.0,,RUR,False,2022-11-27 08:32:14,2022-11-27 09:21:16,FULL_DAY,"Умение обрабатывать большие объемы данных и визуализировать результат. Умение идентифицировать аномалии в данных. Продвинутый пользователь Excel (сложные формулы, сводные таблицы...","...данных и подготовка информации для расчетов, автоматизация расчетов, работа с базами данных. Проверка гипотез по имеющимся данным. Проверка качества данных. ","График: 5/2 , с 8:00 до 17:00,выходные: суббота,воскресенье и праздничные дни. Карьерный и профессиональный рост. ",
70839955,Аналитик данных (Data Office),"VK, ВКонтакте","VK, ВКонтакте",1,,,,,,,,2022-11-27 07:02:13,2022-11-27 07:02:13,FULL_DAY,Понимаете основные продуктовые и бизнес-метрики. Знаете SQL/архитектуру хранилищ данных. Разбираетесь в статистике. Умеете анализировать данные в Python. ,"Плотно взаимодействовать на ежедневной основе с командой аналитиков и продактов. Формулировать продуктовые метрики и гипотезы. Проводить исследования, A/B-эксперименты. ",,
72943931,Аналитик ГЕО данных,ГАУ ИНСТИТУТ ГЕНПЛАНА МОСКВЫ,,1,"Москва, 2-я Брестская улица, 2/14",55.7696407928333,37.5931213796139,,,,,2022-11-25 13:00:40,2022-11-26 19:50:13,FULL_DAY,"Хорошее знание инструментов WEB-картографии и геонаналитики (leaflet, mapserver, geoserver и т.д.). Опыт работы с данными OSM (желательно). ","Интеграция данных из различных источников в единое хранилище. Обработка и верификация пространственных (картографических) данных. Участие в проектировании, разработке и внедрении...","Стабильная заработная плата, включающая оклад, квартальное и годовое премирование. Офис в 2-х мин. от ст. м. Маяковская. ",
72677600,Аналитик данных (маркетинг),Медиапоинт,,1,,,,,,,,2022-11-27 10:08:32,2022-11-27 10:22:01,FULL_DAY,"Опыт работы аналитиком от 3 лет. Знание основных продуктовых метрик (LTV, ARPU, Retention, CAC) и умение работать с ними. ",Выявление проблемных зон акций и предложение плана по устранению проблем. Сбор и анализ данных при помощи Excel/Power BI/ SQL...,"Молодой интернациональный коллектив. Официальное оформление по ТК РФ. Полностью удаленная работа, либо гибридный график: комфортный офис в центре Москвы в...",
72785935,Геоаналитик / ГИС Аналитик / Аналитик данных,ПК НПК,,1,"Москва, улица Гашека, 6",55.768345,37.590533,,180000.0,RUR,True,2022-11-26 07:45:31,2022-11-26 08:21:55,REMOTE,"Опыт структурирования данных, подготовки данных для анализа.  Хорошее знание SQL, практические навыки написания SQL-запросов к пространственным базам данных (PostgreSQL...",АО РНПК (Российская Национальная Перестраховочная Компания) рассматривает кандидатов на должность Геоаналитик / ГИС Аналитик / Аналитик данных в Проектный офис.  ,Прием на дистанционную работу по трудовому договору.  Размер должностного оклада по результатам собеседования.  Ежеквартальная премия + годовой бонус.  ,
72681497,"Data Steward, аналитик данных","билайн: ИТ, Data, Digital","билайн: ИТ, Data, Digital",1,,,,,,,,2022-11-27 10:50:59,2022-11-27 11:21:19,FULL_DAY,"Понимание жизненного цикла данных. Знание основ ETL/ELT или DWH. Математический бекграунд (работа с данными, анализ данных, статистика). ","Выверка данных перед их использованием. Разбор инцидентов качества данных. Дополнительные задачи: Разрабатывать правила, стандарты и требования для накопления качественных данных. ",,
71424469,Аналитик данных,"билайн: ИТ, Data, Digital","билайн: ИТ, Data, Digital",1,,,,,,,,2022-11-26 10:08:24,2022-11-26 10:19:13,REMOTE,Опыт в анализе данных (продуктовом/ финансовом) от 2-х лет (middle уровень). Знание SQL - продвинутый уровень. Опыт работы с Excel...,"Заниматься сбором информации и подготовкой отчетности по маркетинговой активности, в том числе анализировать эффективность маркетинговых инициатив. Оценивать целесообразность и рассчитывать...","Сплоченная команда профессионалов, в которой можно не только успешно реализовывать проекты, но и перенимать опыт и развиваться. Конструктивная и открытая...",
72432302,Аналитик баз данных,Современные коммуникационные технологии,,1,"Москва, Сокольническая линия, метро Румянцево",55.633028,37.441395,100000.0,150000.0,RUR,False,2022-11-25 16:16:20,2022-11-25 16:19:28,FULL_DAY,Готовность к оперированию большим массивом данных. Уверенные знания SQL и опыт работы с базами данных. Хорошее знание Excel (сводные таблицы...,Коммуникация с потребителями выгружаемой отчетности и со смежными отделами. Подготовка регулярной отчетности . Написание ad-hoc запросов к базам данных. ,"Работу в комфортном офисе в Бизнес Парке «Румянцево» (парковка для сотрудников, обширная инфраструктура Бизнес парка: кафе, фуд-корты, магазины, спорт...",
72730952,BI-аналитик / аналитик данных,Автостэлс,,1,,,,200000.0,,RUR,False,2022-11-25 08:18:48,2022-11-25 08:22:04,FLEXIBLE,"Высшее образование (техническое, математическое, экономическое). Опыт работы аналитиком от 2 лет. Продвинутые знания Excel. Продвинутое знание SQL, знание Python – приветствуется. ","Собирать требования к аналитике, отчетности у заказчиков. Анализировать источники данных, текущие отчеты в источниках. Писать технические задания для разработчиков. ","Мы предлагаем безграничные возможности для реализации своих идей. Живой, динамичный и захватывающий дух стартапа. Возможность быть частью крутого проекта, гордится...",
49495729,Ведущий аналитик данных (Департамент закупок),"Красное & Белое, розничная сеть",,1,"Москва, 1-й Красногвардейский проезд, 15",55.75052,37.539401,,300000.0,RUR,False,2022-11-25 15:17:35,2022-11-25 17:16:56,FULL_DAY,"Навыки выдвижения и проверки гипотез, прогнозирование, опыт обработки больших массивов данных. Опыт работы с 1С. Навык работы с OLAP...","Выявление узких мест, факторов отклонений. Систематизация данных, оптимизация бизнес-процессов. Сбор, обработка и анализ больших объемов данных в Excel. ","График работы: пятидневная рабочая неделя, с 9:00 до 18:00. Место работы: Москва Сити (башня меркурий). Трудоустройство согласно ТК...",
72454638,Аналитик данных,Weborama Russia,,1,"Москва, Каланчёвская улица, 16с1",55.77755,37.649445,,,,,2022-11-26 07:29:03,2022-11-26 08:21:15,FULL_DAY,"Требуемый опыт работы: от 3х лет. Высшее образование. Владение одним из языков программирования: R (tidyverse) /Python (pandas), опыт использования...",Создание новых и развитие текущий аналитических продуктов для решения задач клиентов и рынка. Ежедневная работа собственными технологиями Weborama. ,Работа в офисе. Работа в дружном коллективе профессионалов. Возможность профессионального и карьерного роста. Полностью белая заработная плата (оклад+премии). ,
71811656,Аналитик данных,Автомакон,,1,,,,110000.0,250000.0,RUR,True,2022-11-25 09:52:37,2022-11-26 10:00:50,FULL_DAY,Уверенные знания SQL и опыт работы с базами данных. Опыт работы с pandas. Опыт работы с ML-библиотеками python. ,"Извлечение, преобразование, загрузка данных и их обработка. Формирование отчетов, визуализация данных. Общение с представителями заказчика, формализация требований к проектам. ","Возможность удаленной работы, а также в офисе в Москве (м. Румянцево). Официальное оформление с первого дня работы. Поддержка куратора во...",
72947996,Data аналитик (Аналитик данных),BestDoctor,,1,,,,130000.0,,RUR,True,2022-11-25 14:13:30,2022-11-25 14:13:53,FULL_DAY,Nice to have! Знание Python будут преимуществом. Опыт работы с CRM-системами будет преимуществом. Опыт работы системным аналитиком будет преимуществом.,"...выступать заказчиком доработок со стороны аналитики. Предлагать идеи по совершенствованию бизнес-процессов на основе данных, внедрять data-driven подход при...",Удаленный формат работы (будем рады тебя видеть у нас в офисе (м.Савёловская). Мы предоставим тебе ноутбук и всю необходимую технику...,
71696102,Младший аналитик по работе с базами данных,«ОТИСИФАРМ»,,1,"Москва, Тестовская улица, 10",55.751796,37.532637,,,,,2022-11-25 17:34:59,2022-11-25 17:34:59,FULL_DAY,"Высшее образование (технические и экономические специальности - как преимущество), готовы рассматривать в том числе студентов 4-5 курсов с возможностью работать...","Первичная обработка и интеграция данных во внутренние аналитические системы Компании. Поддержка актуальности справочников по внутренним данным и внешним аудитам, проведение...","Оформление согласно ТК РФ. Уровень дохода обсуждается с кандидатом индивидуально (оклад + годовой бонус). ДМС (включая стоматологию), страхование жизни. ",
72374586,BI аналитик \ Аналитик данных,CORE.XP,,1,"Москва, 1-й Красногвардейский проезд, 21с1",55.750028,37.534397,,,,,2022-11-25 14:02:00,2022-11-25 14:02:00,FULL_DAY,"Опыт работы в аналитике данных \ BI от 1 года. Понимание структуры современных CRM, опыт составления различных репортов по продажам\активностям...","...компании - получение данных анализ, отчеты, визуализация и.т.д. Аналитика воронки продаж, доработка BI-модуля и необходимых дашбордов. Аналитика по...",Максимальное погружение в аналитику данных и возможность самостоятельно отвечать за направление BI и анализа данных в компании - российском лидере сегмента...,
72753000,Аналитик данных,ВФМ Технолоджи,,1,"Москва, Тверская улица, 16с3",55.764759,37.607664,,,,,2022-11-25 13:30:37,2022-11-25 14:20:36,FULL_DAY,"Уверенное владение SQL, применение на ежедневной основе на текущем/прошлом рабочем месте. Уверенное владение Excel (формулы, сводные таблицы, графики). ","Извлечение, преобразование, загрузка данных и их обработка. Формирование отчетов, визуализация данных. Общение с представителями заказчика, формализация требований к проектам. ",Официальное оформление в соответствии с ТК РФ. Официальная заработная плата. График работы: 5\2 с 9\10 до 18\19. ,
72700550,SQL разработчик/ Аналитик данных,TeleTribe,,1,,,,,120000.0,RUR,False,2022-11-25 14:43:47,2022-11-25 14:43:47,FULL_DAY,Опыт на должности аналогичной должности от 1 года. Знание Oracle Pl/SQL. Желательно знание структуры БД колл-центра.,"Работа в команде разработчиков, написание отчетов (программного кода на PL/SQL), а также пакетных функций для реализации проектов колл-центра.","График работы: 5/2 с 9:00 до 18:00, удаленный режим. Оформление по ТК РФ. Размер вознаграждения по итогам...",
69166398,Аналитик данных,Сбер. Экспертам и руководителям,Сбер. Экспертам и руководителям,1,,,,,,,,2022-11-25 13:03:56,2022-11-27 07:01:20,FULL_DAY,"Опыт анализа больших объемов данных, построения моделей, прогнозирования на будущие периоды. Знание математической статистики и методов статистического анализа данных. ",Визуализировать и интерпретировать полученные результаты анализа. Проверять гипотезы на данных и обрабатывать ad-hoc запросы. Участвовать в совершенствовании системы отчетности. ,Стабильный оклад и социальную поддержку сотрудников. Официальное оформление с первого дня. Мощное оборудование за счет компании. Работу бок о бок...,
