vacancy_id,vacancy_name,company_name,company_dept,area,address,latitude,longitude,salary_from,salary_to,salary_currency,salary_gross,publication_time,last_changed,schedule,req,resp,cond,skills
71426958,Data Scientist (команда Поиска),HeadHunter::Analytics/Data Science,HeadHunter::Analytics/Data Science,1,"Москва, улица Годовикова, 9с10",55.809343,37.628505,350000.0,,RUR,True,2022-11-22 10:01:59,2022-11-22 13:59:41,FULL_DAY,Опыт реализации и применения моделей машинного обучения в продакшн. Понимание основных методов и алгоритмов Machine Learning. Знание принципов работы нейросетевых...,"Развитие моделей поискового ранжирования и рекомендательных систем. Тюнинг существующих моделей, feature engineering, а также построение новых решений с нуля. ","Возможность выбора места работы: удаленно или из офиса. Гибкий график рабочего дня. Оформление в соответствии с ТК РФ, «Белая» заработная...",
71757739,Аналитик/data science,Смартсофт,,1,"Москва, Нижний Сусальный переулок",55.761355,37.662659,,,,,2022-11-27 07:31:08,2022-11-27 08:19:38,FULL_DAY,"Высшее техническое образование (IT или физмат). Системное мышление, навыки анализа и структурирования информации, высокая грамотность. Умение выявить у заказчика функциональные...","Участие в задачах, связанных с анализом больших данных и машинным обучением (ML), Data science. Участие в разработке новых компонент подсистемы...","Работу в центре Москвы возле метро ""Курская"", бизнес-квартал ""Арма"". Профессиональный дружный коллектив. Трудоустройство по ТК РФ. Конкурентную официальную белую...",
71908944,Ведущий специалист отдела математического моделирования / Data Scientist,Eqvanta,,1,,,,,,,,2022-11-27 07:57:44,2022-11-27 08:20:14,REMOTE,Опыт работы в data science от 2х лет. Высшее математическое/техническое образование. Знание и навыки работы с SQL. ,Работу над актуальными финтех-продуктами. Полный цикл анализа данных и моделирования для повышения доходности портфеля просроченных займов (предсказание доходности клиента...,"Продуктивную и вдохновляющую атмосферу. Понятные задачи: Стабильную, официальную зарплату. Комьюнити крутых профессионалов и наставников, где ценят усилия и результаты каждого...",
72819441,Data Scientist / Аналитик Data Science,ПроКомплаенс,,1,"Москва, 1-й переулок Тружеников, 14с8",55.737938,37.571516,,,,,2022-11-26 15:14:05,2022-11-26 15:20:30,FULL_DAY,"Опыт работы над прикладными задачами или решениями, внедренными в пром. Опыт решения задач из области Classification/Forecasting. Хороший математический бэкграунд. ","Выявление и связывание ключевой информации в коротких текстах с использованием NLP-техник (NER, NEL, NED, NERD, …) и современных нейронных сетей...","Оформление по ТК РФ (оплата отпуска, больничных листов и т.д.). График работы Full-time, гибкое начало рабочего дня. ",
71523297,Data Scientist (Senior),"билайн: ИТ, Data, Digital","билайн: ИТ, Data, Digital",1,,,,,,,,2022-11-26 16:04:20,2022-11-26 16:19:13,REMOTE,"Мы рассчитываем, что у тебя есть опыт и знания для этой позиции: Реальный опыт построения коммерческих рекомендательных систем. ","Решать бизнес-задачи с помощью анализа данных и машинного обучения. Проводить поиск, выгрузку, статистический анализ и обработку данных. ",,
72323871,"Data Scientist (СV, NLP)",MillionAgents,,1,,,,150000.0,250000.0,RUR,False,2022-11-26 18:24:57,2022-11-26 19:19:10,FULL_DAY,"Требуемый опыт: Знания рекуррентной нейронных сетей, языковых моделей. Уверенно пользуетесь IDE, например: PyCharm, VS Code, Sublime, Vim. Python: опыт работы...","SQL: написание, профилирование и оптимизация запросов. Обучали модели на GPU не в облаке (!), умеете развертывать модели на nvidia-docker.","Работа в стабильной IT компании с технологичными продуктами. Мы устойчиво растем уже 8 лет. Официальное трудоустройство по ТК РФ, полностью...",
71492524,Senior Data Science (RecSys),КИБЕР-РОМ,,1,"Москва, Рочдельская улица, 15с27",55.754836,37.560565,,,,,2022-11-26 09:14:34,2022-11-26 09:19:16,FLEXIBLE,Высшее техническое или математическое образование. Знание Мат статистики и Высшей математики критичны для решения наших задач. Опыт построения Production рекомендательных...,Строить эксперименты по улучшению ранжирования рекомендаций. Искать и внедрять новые фичи. Выстраивать Pipeline-ы по подсчету признаков. Адаптировать решения платформы...,"Мы - аккредитованная в Минцифрах IT-компания. Оформление по ТК РФ, конкурентная заработная плата. График работы 5\2, гибкое начало дня...",
71484836,Data scientist,"585, Холдинг",,1,,,,,,,,2022-11-25 15:07:49,2022-11-25 15:07:49,REMOTE,Опыт коммерческой разработки на Python от 2 лет. Опыт работа с библиотеками по анализу данных. Знание алгоритмов и структур данных. ,"Разработка, поддержка и развитие собственной “системы компьютерной симуляции и тестирования стратегий”. (Python, SQL, Git ). Разработка новых модулей системы для бэктестинга...",Полностью белая заработная плата с выплатами без задержек; обсуждается с успешными кандидатами по итогам собеседования. Условия для развития: свобода действий...,
72787688,ML разработчик / Data scientist,"BabyBlog.ru (Бэбиблог, ООО)",,1,,,,120000.0,180000.0,RUR,True,2022-11-26 08:07:57,2022-11-26 08:22:06,FULL_DAY,Высшее образование в области прикладной математики/физики/IT. Опыт разработки на Python 3.7+ от 2 лет. ,Подготовка данных для обучения модели. Проектирование архитектуры нейронной сети и алгоритмов обучения. Обучение модели и валидация результатов работы. ,"Официальное трудоустройство в аккредитованную IT компанию. Трудоустройство по ТК РФ, полностью ""белая"" зарплата. Удобный график с гибким началом рабочего дня. ",
70673604,Senior Data scientist (NLP/NLU),Домклик,,1,,,,,,,,2022-11-26 08:17:25,2022-11-27 08:56:23,FULL_DAY,"Высокий уровень хард скиллов в DS и, в частности, работы с NLP. В том числе знание supervised/unsupervised подходов в...",,,
67982032,Data Scientist,"Первая Грузовая Компания, IT/Digital","Первая Грузовая Компания, IT/Digital",1,"Москва, Новорязанская улица, 24",55.771591,37.665336,,,,,2022-11-25 08:08:43,2022-11-25 15:06:53,FULL_DAY,"Хорошее знание и опыт использования основных алгоритмов и библиотек для классического ML (sklearn, pandas, numpy, scipy, matplotlib, LightGBM и т...","Подготовка данных для прогнозирования, EDA. Участие в продуктивизации ML-моделей совместно с Data Engineer. Разработка рекомендательного модуля в сервисе-агрегаторе...","Возможность принять участие в развитии масштабных, цифровых продуктов. Высокий уровень дохода (fix+ бонус). Расширенный социальный пакет: ДМС со стоматологией, фитнес...",
71582181,Junior Data Scientist,Сбер. Data Science,Сбер. Data Science,1,,,,,,,,2022-11-25 15:58:30,2022-11-27 07:01:20,FULL_DAY,"Команда занимается исследованиями, разработкой и выводом в пром моделей для задач в области улучшения клиентского опыта по инвестиционным и накопительным...","Команда AI Services трайба Инвестиции и накопления блока Управление благосостоянием ПАО Сбербанк в поисках Data scientist. Разработка, поддержка и развитие...",Работа в команде разделяющей ценности Agile. Хорошо мотивирующий оклад + система премирования. Отсутствие дресс-кода. Проекты национального уровня. ,
72946864,Middle data scientist,QIWI,,1,"Москва, микрорайон Северное Чертаново, 1Ак1",55.637327,37.597702,,,,,2022-11-25 13:47:14,2022-11-27 05:36:13,FULL_DAY,"Мы работаем на результат, а не на применение/реализацию софта. Задачи предполагают много анализа данных и проверок гипотез в процессе...",Развитие моделей антифрода. Сегментация клиентов. Развитие моделей клиентского центра. Сложная визуализация данных.,"Удаленка без привязки к месту/гибрид/офис - выбираете вы. Для тех, кто в Москве, есть удобный офис в 10 минутах...",
72012099,Senior Data Scientist,НТехЛаб,,1,"Москва, Новолесная улица, 2",55.78169921110354,37.59245776074779,300000.0,,RUR,True,2022-11-25 12:47:44,2022-11-25 12:47:44,FULL_DAY,"Высшее техническое образование. Опыт в Deep Learning в Computer Vision 3-6 лет. Хорошее понимание математики, необходимой для DL. ",Делать полный цикл обучения моделей: Собирать фидбеки с заказчиков и улучшать модели.,"Сильную DS-команду. Участие в конкурсах: NIST, kaggle, рейтингование ДИТ, Дептранс, сертификация ibeta и других. Участие в российских и международных...",
72952363,Junior CV Data Scientist,Сбер. IT,Сбер. IT,1,,,,,,,,2022-11-25 16:17:46,2022-11-27 07:01:20,FULL_DAY,"Интересоваться CV (object detection, classification, segmentation). ∙ Умение составить композицию из различных подходов в работающий прототип продукта.",Работаться с данными - в основном сканы и фотки документов. ∙ OCR.,Тренировать сетки. Наши ожидания: Мы готовы предложить: Ипотека выгоднее для каждого сотрудника и льготные условия кредитования. Бесплатная подписка СберПрайм+. ,
72747476,Senior Data Scientist CV,Сбер. Data Science,Сбер. Data Science,1,,,,,,,,2022-11-25 15:58:31,2022-11-27 07:01:20,FULL_DAY,"Отличное знание одного из :pytorch1-0:, :tf: + numpy, sklearn, pandas. Опыт разработки/обучения/внедрения одной или нескольких типов...",Развитие собственного движка обработки документов OCR. Улучшение моделей детекции. Улучшение текущих и разработка новых пайплайнов E2E моделей парсинга...,"Ипотека выгоднее для каждого сотрудника и льготные условия кредитования. Бесплатная подписка СберПрайм+. Скидки на продукты компаний-партнеров: Okko, Сбер Маркет...",
70417563,Руководитель направления Data Science,Сбер для экспертов,Сбер для экспертов,1,,,,,,,,2022-11-25 15:58:30,2022-11-27 07:01:20,FULL_DAY,"Понимает, как работают алгоритмы классического ML. Уверенно владеет SQL. Знает принципы А/В тестирования.","Мы разрабатываем и внедряем end-to-end решения на основе машинного обучения в бизнес-процессы банка, связанные с обслуживанием клиентов...","Обмен опытом во внутреннем DS-community, кросс-командные проекты, неформальные внутренние мероприятия, где можешь перенять опыт коллег / поделиться чем-то...",
71890920,Senior NLP Data Scientist,Сбер. Data Science,Сбер. Data Science,1,"Москва, Кутузовский проспект, 32",55.740421,37.532071,,,,,2022-11-25 15:58:30,2022-11-27 07:01:20,FULL_DAY,"Создание графов знаний, AMR-графов и моделей на их основе. — Опыт построения NLP-моделей от 3 лет (от 2.5...","Фокусом работы Центра ИИ в Блоке «Сервисы» является предоставление инновационных продуктов и сервисов, позволяющих автоматизировать и упростить деятельность внутренних подразделений. ",От себя предлагаем: — Поощрение R&D. — Возможность переключаться с долгоиграющих проектов на короткие MVP истории. — Интересные масштабные задачи от различных...,
67136583,Team Lead Data Scientist,Сбер. Data Science,Сбер. Data Science,1,,,,,,,,2022-11-25 15:58:29,2022-11-27 07:01:20,FULL_DAY,"Имеешь опыт разработки ML моделей. Хорошее знание математической статистики и ML алгоритмов. Хорошие знания Python, SQL. Общий стаж работы не...",Задачи классификации/регрессии/uplift-моделирования. Поддержка вывода моделей в ПРОМ. Анализ и мониторинг качества моделей. Расчет CLTV и Unit экономики. ,"Deep diving в предметную область, много разработки по задачам имеющим прямой эффект на бизнес. Возможность привносить новые идеи и нестандартные...",
