vacancy_id,vacancy_name,company_name,address,latitude,longitude,salary_from,salary_to,salary_currency,salary_gross,publication_time,last_changed,schedule,req,resp,cond,full_description,key_skills,experience_needed
72750262,Ведущий аналитик (качество данных\Data quality),Банк ВТБ (ПАО),"Москва, Пресненская набережная, 10с1",55.748914,37.535466,,,,,2022-11-23 07:08:44,2022-11-23 07:08:44,FULL_DAY,"Высшее образование. Опыт работы в качестве аналитика не менее 3-х лет. З​нания в области управленческого, бухгалтерского учета, МСФО...","Мониторинг качества данных, организация процессов управления инцидентами и проблемами качества данных, реализация мероприятий по повышению качества данных. Участие в разработке...","Трудоустройство согласно Законодательству. Конкурентная заработная плата. Профессиональное обучение и развитие. Добровольное медицинское страхование, льготные условия кредитования. Корпоративная пенсионная программа, материальная...","Обязанности:  участие в проектах по внедрению и развитию инструментов и процессов управления данными; разработка нормативной документации в части управления данными (качеством, доступностью, актуальностью, полнотой, стоимостью и т.д.); выстраивание взаимоотношений с внутренними клиентами в рамках функционально – ролевой модели управления данными; мониторинг качества данных, организация процессов управления инцидентами и проблемами качества данных, реализация мероприятий по повышению качества данных; участие в разработке бизнес - глоссария терминов Банка;  Требования:  высшее образование; опыт работы в качестве аналитика не менее 3-х лет; з​нания в области управленческого, бухгалтерского учета, МСФО, риск - отчетности; опыт руководства проектами или участия в проектах по внедрению аналитических систем, DWH, BI; опыт работы по направлению Data quality будет преимуществом; предметные знания промышленных инструментов управления данными (Informatica, IBM, SAS, Oracle); опыт проектирования моделей данных в промышленных CASE инструментах (Sybase PowerDesigner, IBM Data Architect и т.д.); опыт подготовки презентационных материалов, проведения рабочих встреч, ведения деловой переписки; высокие коммуникативные навыки, стрессоустойчивость, усидчивость.  Условия:  трудоустройство согласно Законодательству; конкурентная заработная плата; профессиональное обучение и развитие; добровольное медицинское страхование, льготные условия кредитования; корпоративная пенсионная программа, материальная помощь; спортивная жизнь и корпоративные мероприятия; возможность построить карьеру в ведущем банке России. ",Анализ данных;Аналитическое мышление;Data quality,3–6 лет
72674818,Аналитик данных,Городские информационные системы,,,,120000.0,180000.0,RUR,False,2022-11-27 09:36:56,2022-11-27 10:21:43,FULL_DAY,"...заданий, валидация данных. Особенности OLAP БД и особенности колончатых БД. Apache Superset: оптимизация запросов и методы получения данных. ","...SQL-запросы, хранимые процедуры, вьюшки. Визуализировать данные в промышленной BI-системе. Писать скрипты на Python для экстракции и преобразования данных.",Удалённая работа. Уютный коллектив. Минимум бюрократии. Возможности расти и экспериментировать.,"Мы сейчас переносим отчетность из SAP систем на Open Source решения. Для этого нам нужен человек, который знает и умеет SQL, а также понимает толк в BI. Ты сможешь поучаствовать в полноценной миграции данных и плотно поработать над нагруженными отчетами. Стандартные рабочие задачи:  Проектировать ETL-процессы Писать SQL-запросы, хранимые процедуры, вьюшки Визуализировать данные в промышленной BI-системе Писать скрипты на Python для экстракции и преобразования данных  Было бы круто, если ты знаешь:  AirFlow и понимаешь, что такое: дельта загрузка, оптимизация заданий, валидация данных Особенности OLAP БД и особенности колончатых БД Apache Superset: оптимизация запросов и методы получения данных Greenplum, PostgreSQL: знание особенностей и конфигурации  Мы можем предложить:  Удалённая работа Уютный коллектив Минимум бюрократии Возможности расти и экспериментировать   ",Английский язык;Работа в команде;SQL;PostgreSQL;Python;Reporting;Cистемы управления базами данных;Работа с базами данных;Business Intelligence Systems;Apache Superset;Greenplum;AirFlow;Clickhouse,3–6 лет
72527010,Аналитик базы данных,Вектор,"Красногорск, бульвар Строителей, 4к1",55.814462,37.385412,70000.0,,RUR,False,2022-11-27 08:32:14,2022-11-27 09:21:16,FULL_DAY,"Умение обрабатывать большие объемы данных и визуализировать результат. Умение идентифицировать аномалии в данных. Продвинутый пользователь Excel (сложные формулы, сводные таблицы...","...данных и подготовка информации для расчетов, автоматизация расчетов, работа с базами данных. Проверка гипотез по имеющимся данным. Проверка качества данных. ","График: 5/2 , с 8:00 до 17:00,выходные: суббота,воскресенье и праздничные дни. Карьерный и профессиональный рост. ","Мы группа компаний ""Truck Radar"" - лидеры на рынке подбора грузов и авансирования грузоперевозок, являемся резидентами ""Сколково"" и официальными партнерами крупнейшей биржи грузоперевозок в РФ ""АТИ"". Мы уже четвертый год активно развиваемся в сфере логистики, только за прошлый год, наши масштабы выросли в 11 раз. Наш продукт - деньги вперед. Наша цель - стать крупнейшей логистической компанией на рынке! Основные обязанности:Обработка массива данных и подготовка информации для расчетов, автоматизация расчетов, работа с базами данных;Необходимость анализировать данные и вытаскивать неочевидные закономерности;Работа с большими данными;Проверка гипотез по имеющимся данным;Проверка качества данных;Разработка методик прогнозирования. Что мы ждем от тебя: Умение обрабатывать большие объемы данных и визуализировать результат;Умение идентифицировать аномалии в данных;Продвинутый пользователь Excel (сложные формулы, сводные таблицы, графики). С нашей стороны мы гарантируем:  График: 5/2 , с 8:00 до 17:00,выходные: суббота,воскресенье и праздничные дни; Карьерный и профессиональный рост; Оформление по ТК РФ; Дружный коллектив; Работа в стабильной и активно развивающейся компании; Офис м. Мякинино, БЦ класса ""А"" Кубик(убедитесь, что Вам будет удобно до нас добираться).  Если готов стать частью команды, укажи это в сопроводительном письме!",Базы данных;Работа с базами данных;Прогнозирование;Экономический анализ;Факторинг,1–3 года
70839955,Аналитик данных (Data Office),"VK, ВКонтакте",,,,,,,,2022-11-27 07:02:13,2022-11-27 07:02:13,FULL_DAY,Понимаете основные продуктовые и бизнес-метрики. Знаете SQL/архитектуру хранилищ данных. Разбираетесь в статистике. Умеете анализировать данные в Python. ,"Плотно взаимодействовать на ежедневной основе с командой аналитиков и продактов. Формулировать продуктовые метрики и гипотезы. Проводить исследования, A/B-эксперименты. ",,"Мы занимаемся аналитикой экосистемных продуктов VK. Приглашаем в команду опытных специалистов, которые смогут организовать сбор потока данных и работу с ним, разработать инструменты и метрики для продуктовых решений, а также непосредственно участвовать в развитии ключевых продуктов. Задачи:  плотно взаимодействовать на ежедневной основе с командой аналитиков и продактов; формулировать продуктовые метрики и гипотезы; проводить исследования, A/B-эксперименты; настраивать аналитические мониторинги и отчеты; участвовать в запуске фич вместе с командой: постановка требований разработчикам о том, какие данные нужно собирать, оценка эффективности запусков; укреплять data-driven культуру VK.  Требования:  понимаете основные продуктовые и бизнес-метрики; знаете SQL/архитектуру хранилищ данных; разбираетесь в статистике; умеете анализировать данные в Python; знакомы с BI-системами. ",SQL;Python;Математическая статистика;BI;Аналитика,1–3 года
72943931,Аналитик ГЕО данных,ГАУ ИНСТИТУТ ГЕНПЛАНА МОСКВЫ,"Москва, 2-я Брестская улица, 2/14",55.7696407928333,37.5931213796139,,,,,2022-11-25 13:00:40,2022-11-26 19:50:13,FULL_DAY,"Хорошее знание инструментов WEB-картографии и геонаналитики (leaflet, mapserver, geoserver и т.д.). Опыт работы с данными OSM (желательно). ","Интеграция данных из различных источников в единое хранилище. Обработка и верификация пространственных (картографических) данных. Участие в проектировании, разработке и внедрении...","Стабильная заработная плата, включающая оклад, квартальное и годовое премирование. Офис в 2-х мин. от ст. м. Маяковская. ","Обязанности: • Создание и развитие корпоративной ГИС (в том числе с использованием технологий Web-картографии)• Разработка приложений, модулей и инструментов для автоматизации процессов градостроительного проектирования• Анализ и формализация бизнес-процессов и требований потенциальных клиентов в сфере геоинформационных технологий• Интеграция данных из различных источников в единое хранилище• Обработка и верификация пространственных (картографических) данных• Участие в проектировании, разработке и внедрении геоинформационных систем• Публикация картографических сервисов• Хорошее знание инструментов WEB-картографии и геонаналитики (leaflet, mapserver, geoserver и т.д.)• Опыт работы с данными OSM (желательно) Требования: • Знание стека ГИС-технологий (ESRI ArcGIS, QGIS, MapInfo и аналоги),• Знание программного обеспечения: QGIS, MapInfo, ArcGIS, NextGis, знание СУБД: PostgreSQL (PostGIS)• Знание языков программирования: Python, JavaScript, SQL, HTML, CSS• Знания и опыт работы с форматами XML, GML• Аналитический склад ума, ответственность за результат, коммуникабельность, умение доводить до конца поставленные задачи Условия: • Стабильная заработная плата, включающая оклад, квартальное и годовое премирование• Офис в 2-х мин. от ст. м. Маяковская• ДМС со стоматологией",QGIS;ArcGIS;ГИС;SQL;PostgreSQL,1–3 года
72677600,Аналитик данных (маркетинг),Медиапоинт,,,,,,,,2022-11-27 10:08:32,2022-11-27 10:22:01,FULL_DAY,"Опыт работы аналитиком от 3 лет. Знание основных продуктовых метрик (LTV, ARPU, Retention, CAC) и умение работать с ними. ",Выявление проблемных зон акций и предложение плана по устранению проблем. Сбор и анализ данных при помощи Excel/Power BI/ SQL...,"Молодой интернациональный коллектив. Официальное оформление по ТК РФ. Полностью удаленная работа, либо гибридный график: комфортный офис в центре Москвы в...","Наша компания является digital-платформой игровой тематики. Мы работаем не только на территории России, но и на международном рынке. В нашу молодую и дружную команду ищем Middle аналитика данных по направлению маркетинг.Обязанности:   Анализ поведения клиентов и расчет продуктовых метрик (LTV, ARPU, Retention, CAC)   Анализ эффективности маркетинговых акций и предоставление рекомендаций по повышению эффективности маркетинговых кампаний   Расчет окупаемости акционных механик   Предложение и тестирование гипотез, повышающих качество клиентского опыта   Выявление проблемных зон акций и предложение плана по устранению проблем   Сбор и анализ данных при помощи Excel/Power BI/ SQL / Python   Создание презентаций в Power Point по итогам анализа/исследований   Требования:   Опыт работы аналитиком от 3 лет   Знание основных продуктовых метрик (LTV, ARPU, Retention, CAC) и умение работать с ними   Аналитические навыки: Умение быстро структурировать большие объемы информации и простыми словами доносить сложные идеи   Умение презентовать свои идеи руководителю   Интерес к поиску неочевидных инсайдов, причинно-следственных связей   Знание метрик оценки рекламных кампаний   Знание основ статистики (описательная статистика, корреляционный, регрессионный анализ, стат. тесты и пр.)   Опытный пользователь SQL, Excel, Power BI   Знание Python будет плюсом   Условия:  Молодой интернациональный коллектив; Официальное оформление по ТК РФ; Полностью удаленная работа, либо гибридный график: комфортный офис в центре Москвы в пешей доступности от метро; ДМС после прохождения испытательного срока; Предоставляем рабочую технику; Уровень заработной платы обсуждается по итогам интервью. ",SQL;Python;Аналитические исследования;MS PowerPoint;Маркетинговые исследования;MS Excel,3–6 лет
72785935,Геоаналитик / ГИС Аналитик / Аналитик данных,ПК НПК,"Москва, улица Гашека, 6",55.768345,37.590533,,180000.0,RUR,True,2022-11-26 07:45:31,2022-11-26 08:21:55,REMOTE,"Опыт структурирования данных, подготовки данных для анализа.  Хорошее знание SQL, практические навыки написания SQL-запросов к пространственным базам данных (PostgreSQL...",АО РНПК (Российская Национальная Перестраховочная Компания) рассматривает кандидатов на должность Геоаналитик / ГИС Аналитик / Аналитик данных в Проектный офис.  ,Прием на дистанционную работу по трудовому договору.  Размер должностного оклада по результатам собеседования.  Ежеквартальная премия + годовой бонус.  ,"АО РНПК (Российская Национальная Перестраховочная Компания) рассматривает кандидатов на должность Геоаналитик / ГИС Аналитик / Аналитик данных в Проектный офис Обязанности: Анализ математических моделей и алгоритмов решения задач сбор, обработка и анализ больших массивов исходных данных выявление скрытых закономерностей подготовка к использованию в информационной модели ГИС проектирование и ведение баз пространственных геоданных, разработка структур данных, классификаторов и справочников поддержание целостности данных, в т.ч. реплицируемых из внешних ИС участие в разработке процедур и технических стандартов для сбора, обработки, загрузки, хранения и анализа пространственных данныхТребования: Высшее профильное образование Релевантный опыт работы в области геоинформатики от 2-х лет Уверенное владение продуктами ГИС (предпочтительно ArcGIS, опционально QGIS) Знание математической статистики и теории вероятностей Знание алгоритмов машинного обучения, знание Python, библиотеки ML Опыт структурирования данных, подготовки данных для анализа Хорошее знание SQL, практические навыки написания SQL-запросов к пространственным базам данных (PostgreSQL, MS SQL Server) Способность самостоятельно работать с неструктурированными данными и быстро ориентироваться в различных предметных областях Условия:  Прием на дистанционную работу по трудовому договору Размер должностного оклада по результатам собеседования Ежеквартальная премия + годовой бонус ДМС работнику + члены семьи страховка от НС + критических заболеваний корпоративная мобильная связь",SQL;MS PowerPoint;MS SQL;MS Access;Python;Прогнозирование,3–6 лет
72681497,"Data Steward, аналитик данных","билайн: ИТ, Data, Digital",,,,,,,,2022-11-27 10:50:59,2022-11-27 11:21:19,FULL_DAY,"Понимание жизненного цикла данных. Знание основ ETL/ELT или DWH. Математический бекграунд (работа с данными, анализ данных, статистика). ","Выверка данных перед их использованием. Разбор инцидентов качества данных. Дополнительные задачи: Разрабатывать правила, стандарты и требования для накопления качественных данных. ",,"Мы ищем ответственного человека на клиентский продукт. Предстоит работа с клиентскими данными (в том числе персональными, продуктовыми, договорными). Основные задачи:  регулярный разбор конфликтов в данных; разбор серой зоны по дубликатам; выверка данных перед их использованием; разбор инцидентов качества данных;  Дополнительные задачи:  разрабатывать правила, стандарты и требования для накопления качественных данных; разрабатывать процедуры валидации данных на соответствие требований продуктов компании; проверять новые инициативы и продуктовые доработки на соответствие политикам компании в отношении требований к данным; участвовать в пересмотре существующих бизнес-процессов/СJ’s компании на соответствие политики компании в отношении работы с данными; разрабатывать и совершенствовать глоссарий данных, повышать качество данных в клиентском профиле.  Что ожидаем от вас:  знание SQL; умение читать модели данных; умение описывать инциденты; понимание жизненного цикла данных; знание основ ETL/ELT или DWH; математический бекграунд (работа с данными, анализ данных, статистика); умение работать с документацией; желание развиваться в этой сфере;  Будет плюсом:  опыт на аналогичной позиции от 1 года; образование техническое ( в том числе бизнес-информатика ); понимание юриспруденции и бухгалтерских основ опыт разработки методологий и построения процессов; знание практик DMBOK DAMA; опыт работы с каталогом данных/бизнес-глоссарием; применение любого инструмента в области качества данных.  ""Данная вакансия открыта в ООО ""ВК-ИТ"", находящейся в реестре аккредитованных IT-организаций Минцифры""",Системность;Коммуникабельность;Ответственный подход к работе;Внимательность;Аккуратность;Самообучаемость;ETL;SQL запросы;Аналитика;Системный аналитик;Качество данных;DAMA DMBoK;Data governance,1–3 года
71424469,Аналитик данных,"билайн: ИТ, Data, Digital",,,,,,,,2022-11-26 10:08:24,2022-11-26 10:19:13,REMOTE,Опыт в анализе данных (продуктовом/ финансовом) от 2-х лет (middle уровень). Знание SQL - продвинутый уровень. Опыт работы с Excel...,"Заниматься сбором информации и подготовкой отчетности по маркетинговой активности, в том числе анализировать эффективность маркетинговых инициатив. Оценивать целесообразность и рассчитывать...","Сплоченная команда профессионалов, в которой можно не только успешно реализовывать проекты, но и перенимать опыт и развиваться. Конструктивная и открытая...","Наша команда каждый день работает над повышением качества связи и отвечает за стабильный сервис для тебя. Профессионалы билайн уверенно создают надежную связь по всей территории нашей страны: в небольших поселках и крупных городах, на вершинах гор и под землей.Если ты готовы решать сложные и масштабные задачи в команде экспертов — мы ждем твое резюме!Обязанности:  Заниматься сбором информации и подготовкой отчетности по маркетинговой активности, в том числе анализировать эффективность маркетинговых инициатив Оценивать целесообразность и рассчитывать экономический эффект от проведения маркетинговых мероприятий (Бизнес-кейсы) Анализировать паттерны поведения абонентов Просчитывать прогноз абонентской базы и выручки Проводить пост-анализ запущенных кампаний Создавать аналитические инструменты BI отчетности  Требования:  Опыт в анализе данных (продуктовом/ финансовом) от 2-х лет (middle уровень) Знание SQL - продвинутый уровень Опыт работы с Excel и инструментами визуализации данных(power point, power bi) на продвинутом уровне    Условия:  Сплоченная команда профессионалов, в которой можно не только успешно реализовывать проекты, но и перенимать опыт и развиваться; Конструктивная и открытая рабочая атмосфера; Сложные и интересные задачи, которые позволят полностью раскрыть свой потенциал; Возможность участвовать в создании не только самых инновационных, но и социально-значимых продуктов; Digital-инструменты для работы, которые позволят тебе решать текущие задачи быстро и эффективно; Корпоративное обучение: очное или в on-line формате; BeeFREE — гибкий рабочий график и возможность работать удаленно — планируй свое время сам; Полис добровольного медицинского страхования, обслуживаемый в лучших клиниках города; Cлужебную сотовую связь.     ",SQL;Анализ данных,1–3 года
72432302,Аналитик баз данных,Современные коммуникационные технологии,"Москва, Сокольническая линия, метро Румянцево",55.633028,37.441395,100000.0,150000.0,RUR,False,2022-11-25 16:16:20,2022-11-25 16:19:28,FULL_DAY,Готовность к оперированию большим массивом данных. Уверенные знания SQL и опыт работы с базами данных. Хорошее знание Excel (сводные таблицы...,Коммуникация с потребителями выгружаемой отчетности и со смежными отделами. Подготовка регулярной отчетности . Написание ad-hoc запросов к базам данных. ,"Работу в комфортном офисе в Бизнес Парке «Румянцево» (парковка для сотрудников, обширная инфраструктура Бизнес парка: кафе, фуд-корты, магазины, спорт...","Здравствуй, наш будущий коллега! В нашей дружной, динамично развивающейся компании открыт конкурс на позицию Аналитик баз данных. Чем мы занимаемся? – Мы оказываем услуги банкам и страховым компаниям. У нас собственный Контакт-центр и Центр развития компетенций. Мы растем и развиваемся, и не планируем останавливаться на достигнутом. Надеемся, ты тоже! За последние полгода мы выросли в 2 раза и нам интересны новые люди с новыми креативными идеями подходами и успешным опытом за плечами. Если ты один из них – мы ждем тебя! Обязанности:  Коммуникация с потребителями выгружаемой отчетности и со смежными отделами; Подготовка регулярной отчетности ; Написание ad-hoc запросов к базам данных; Составление визуально понятной отчетности  Наши пожелания:  Аналитический склад ума, структурированное мышление и понимание ИТ; Готовность к оперированию большим массивом данных; Уверенные знания SQL и опыт работы с базами данных; Хорошее знание Excel (сводные таблицы, ВПР функции, статистические расчеты, графики, диаграммы); Будет плюсом знание Power Bi; Так же большим плюсом будет умение написания скриптов для автоматизации выгрузки данных.  Вашими преимуществами будут:  Подтвержденная квалификация по специализации «Численные методы анализа данных» (базовое образование, сертификаты курсов, опыт работы) Опыт работы в аналитических средах проектов big-data Структурирование данных и моделирование процессов с использованием методов анализа и обработки баз данных  Мы предлагаем:  Работу в комфортном офисе в Бизнес Парке «Румянцево» (парковка для сотрудников, обширная инфраструктура Бизнес парка: кафе, фуд-корты, магазины, спорт-клуб, все в одном месте и всего в 100 метрах от метро «Румянцево»); ДМС в одной из лучших клиник; Оформление по ТК РФ, «белая» заработная плата; График работы 5/2 с 9:00-18:00; Работу в дружелюбном коллективе; Возможность развиваться вместе, реализовывать свой творческий и интеллектуальный потенциал.   ",Пользователь ПК;CRM;Аналитическое мышление;Excel;Грамотная письменная речь;Анализ бизнес показателей;Системное мышление;Экономический анализ;Прогнозирование;Финансовое моделирование;SQL;power bi,3–6 лет
